"langue et niveau","dates d'inscription","date de session","université organisatrice","site d'information",contact
"Anglais - B2","01/09/2026 au 30/09/2026",10/10/2026,"SORBONNE UNIVERSITÉ",https://sciences.sorbonne-universite.fr/formation-sciences/offre-de-formation/enseignement-des-langues/cles-certificat-de-competence-en,frederic.menu@sorbonne-universite.fr
"Anglais - B2","01/10/2026 au 30/10/2026",05/11/2026,"UNIVERSITÉ D'AIX MARSEILLE",,sul-certifications@univ-amu.fr
"Arabe - B1","05/10/2026 au 18/10/2026",06/11/2026,"UNIVERSITÉ LYON 2 LUMIERE",,vanessa.robles@univ-lyon2.fr
"Arabe - B2","05/10/2026 au 18/10/2026",06/11/2026,"UNIVERSITÉ LYON 2 LUMIERE",,vanessa.robles@univ-lyon2.fr
"Allemand - B2","07/09/2026 au 17/10/2026",07/11/2026,"SORBONNE UNIVERSITÉ",https://sciences.sorbonne-universite.fr/formation-sciences/offre-de-formation/enseignement-des-langues/cles-certificat-de-competence-en,frederic.menu@sorbonne-universite.fr
"Espagnol - B1","07/09/2026 au 17/10/2026",07/11/2026,"SORBONNE UNIVERSITÉ",https://sciences.sorbonne-universite.fr/formation-sciences/offre-de-formation/enseignement-des-langues/cles-certificat-de-competence-en,frederic.menu@sorbonne-universite.fr
"Espagnol - B2","07/09/2026 au 17/10/2026",07/11/2026,"SORBONNE UNIVERSITÉ",https://sciences.sorbonne-universite.fr/formation-sciences/offre-de-formation/enseignement-des-langues/cles-certificat-de-competence-en,frederic.menu@sorbonne-universite.fr
"Anglais - B2","21/09/2026 au 20/10/2026",07/11/2026,"UNIVERSITÉ DE RENNES",https://langues.univ-rennes.fr/,andrea.spaeth-balanant@univ-rennes.fr
"Anglais - B2","05/10/2026 au 18/10/2026",07/11/2026,"UNIVERSITÉ LYON 2 LUMIERE",,vanessa.robles@univ-lyon2.fr
"Anglais - B2","19/06/2026 au 19/06/2026",13/11/2026,"UNIVERSITÉ DU LITTORAL COTE D'OPALE (ULCO)",https://crl.univ-littoral.fr/,lansad@univ-littoral.fr
"Anglais - B2","05/10/2026 au 18/10/2026",13/11/2026,"UNIVERSITÉ LYON 2 LUMIERE",,vanessa.robles@univ-lyon2.fr
"Anglais - B2","15/09/2026 au 16/10/2026",14/11/2026,"UNIVERSITÉ BREST BRETAGNE OCCIDENTALE (UBO)",https://www.univ-brest.fr/pole-langues/fr/page/cles-certificat-de-competences-en-langues-de-lenseignement-superieur,cles.pole.langues@univ-brest.fr
"Anglais - C1","05/10/2026 au 18/10/2026",14/11/2026,"UNIVERSITÉ LYON 2 LUMIERE",,vanessa.robles@univ-lyon2.fr
"Espagnol - B2","05/10/2026 au 18/10/2026",14/11/2026,"UNIVERSITÉ LYON 2 LUMIERE",,vanessa.robles@univ-lyon2.fr
"Espagnol - B2","01/09/2026 au 23/10/2026",14/11/2026,"UNIVERSITÉ PARIS NANTERRE",https://mdl.parisnanterre.fr/inscription-aux-certifications,mdl@lce.parisnanterre.fr
"Portugais - B2","15/10/2026 au 10/11/2026",19/11/2026,"UNIVERSITÉ D'AIX MARSEILLE",,sul-certifications@univ-amu.fr
"Allemand - B2","14/09/2026 au 23/10/2026",19/11/2026,"UNIVERSITÉ DE POITIERS",,
"Russe - B1","14/09/2026 au 23/10/2026",19/11/2026,"UNIVERSITÉ DE POITIERS",,
"Espagnol - B2","14/09/2026 au 08/10/2026",24/11/2026,"UNIVERSITÉ DE ROUEN NORMANDIE",https://maisondeslangues.univ-rouen.fr/certifications-et-tests/cles/,cles.univ-rouen.fr
"Anglais - B1","🔒 Inscriptions réservées",26/11/2026,"UNIVERSITÉ BREST BRETAGNE OCCIDENTALE (UBO)",https://www.univ-brest.fr/pole-langues/fr/page/cles-certificat-de-competences-en-langues-de-lenseignement-superieur,cles.pole.langues@univ-brest.fr
